Airport,search_intensity,year,week
PHX,27,2011,5
MCO,63,2011,5
JFK,57,2011,6
LGA,57,2011,6
EWR,57,2011,6
ORD,53,2011,6
LAS,82,2011,6
DEN,45,2011,6
ATL,27,2011,6
SFO,53,2011,6
IAH,37,2011,6
LAX,25,2011,6
DFW,40,2011,6
SEA,39,2011,6
PHL,32,2011,6
MIA,58,2011,6
DTW,40,2011,6
BOS,35,2011,6
MSP,54,2011,6
CLT,23,2011,6
PHX,31,2011,6
MCO,74,2011,6
JFK,69,2011,7
LGA,69,2011,7
EWR,69,2011,7
ORD,83,2011,7
LAS,60,2011,7
DEN,50,2011,7
ATL,30,2011,7
SFO,80,2011,7
IAH,54,2011,7
LAX,29,2011,7
DFW,55,2011,7
SEA,48,2011,7
PHL,39,2011,7
MIA,69,2011,7
DTW,100,2011,7
BOS,65,2011,7
MSP,96,2011,7
CLT,25,2011,7
PHX,21,2011,7
MCO,96,2011,7
JFK,49,2011,8
LGA,49,2011,8
EWR,49,2011,8
ORD,59,2011,8
LAS,68,2011,8
DEN,52,2011,8
ATL,29,2011,8
SFO,41,2011,8
IAH,57,2011,8
LAX,29,2011,8
DFW,51,2011,8
SEA,52,2011,8
PHL,51,2011,8
MIA,67,2011,8
DTW,52,2011,8
BOS,40,2011,8
MSP,67,2011,8
CLT,35,2011,8
PHX,33,2011,8
MCO,95,2011,8
JFK,78,2011,9
LGA,78,2011,9
EWR,78,2011,9
ORD,64,2011,9
LAS,72,2011,9
DEN,37,2011,9
ATL,44,2011,9
SFO,53,2011,9
IAH,46,2011,9
LAX,35,2011,9
DFW,53,2011,9
SEA,57,2011,9
PHL,51,2011,9
MIA,94,2011,9
DTW,40,2011,9
BOS,65,2011,9
MSP,40,2011,9
CLT,33,2011,9
PHX,24,2011,9
MCO,54,2011,9
JFK,70,2011,10
LGA,70,2011,10
EWR,70,2011,10
ORD,68,2011,10
LAS,64,2011,10
DEN,47,2011,10
ATL,26,2011,10
SFO,47,2011,10
IAH,40,2011,10
LAX,31,2011,10
DFW,44,2011,10
SEA,67,2011,10
PHL,50,2011,10
MIA,48,2011,10
DTW,42,2011,10
BOS,38,2011,10
MSP,46,2011,10
CLT,22,2011,10
PHX,26,2011,10
MCO,62,2011,10
JFK,61,2011,11
LGA,61,2011,11
EWR,61,2011,11
ORD,64,2011,11
LAS,66,2011,11
DEN,22,2011,11
ATL,28,2011,11
SFO,62,2011,11
IAH,73,2011,11
LAX,33,2011,11
DFW,45,2011,11
SEA,51,2011,11
PHL,54,2011,11
MIA,79,2011,11
DTW,60,2011,11
BOS,42,2011,11
MSP,93,2011,11
CLT,37,2011,11
PHX,24,2011,11
MCO,53,2011,11
JFK,59,2011,12
LGA,59,2011,12
EWR,59,2011,12
ORD,67,2011,12
LAS,68,2011,12
DEN,34,2011,12
ATL,28,2011,12
SFO,37,2011,12
IAH,57,2011,12
LAX,27,2011,12
DFW,34,2011,12
SEA,77,2011,12
PHL,40,2011,12
MIA,76,2011,12
DTW,77,2011,12
BOS,54,2011,12
MSP,43,2011,12
CLT,23,2011,12
PHX,19,2011,12
MCO,97,2011,12
JFK,52,2011,13
LGA,52,2011,13
EWR,52,2011,13
ORD,56,2011,13
LAS,62,2011,13
DEN,39,2011,13
ATL,26,2011,13
SFO,31,2011,13
IAH,46,2011,13
LAX,34,2011,13
DFW,46,2011,13
SEA,58,2011,13
PHL,37,2011,13
MIA,58,2011,13
DTW,56,2011,13
BOS,27,2011,13
MSP,50,2011,13
CLT,35,2011,13
PHX,26,2011,13
MCO,70,2011,13
JFK,60,2011,14
LGA,60,2011,14
EWR,60,2011,14
ORD,53,2011,14
LAS,66,2011,14
DEN,53,2011,14
ATL,27,2011,14
SFO,86,2011,14
IAH,36,2011,14
LAX,30,2011,14
DFW,45,2011,14
SEA,86,2011,14
PHL,42,2011,14
MIA,50,2011,14
DTW,37,2011,14
BOS,63,2011,14
MSP,33,2011,14
CLT,43,2011,14
PHX,23,2011,14
MCO,61,2011,14
JFK,68,2011,15
LGA,68,2011,15
EWR,68,2011,15
ORD,78,2011,15
LAS,76,2011,15
DEN,42,2011,15
ATL,27,2011,15
SFO,42,2011,15
IAH,62,2011,15
LAX,40,2011,15
DFW,53,2011,15
SEA,61,2011,15
PHL,48,2011,15
MIA,50,2011,15
DTW,57,2011,15
BOS,53,2011,15
MSP,41,2011,15
CLT,27,2011,15
PHX,15,2011,15
MCO,51,2011,15
JFK,78,2011,16
LGA,78,2011,16
EWR,78,2011,16
ORD,75,2011,16
LAS,63,2011,16
DEN,37,2011,16
ATL,26,2011,16
SFO,50,2011,16
IAH,57,2011,16
LAX,35,2011,16
DFW,48,2011,16
SEA,62,2011,16
PHL,49,2011,16
MIA,55,2011,16
DTW,67,2011,16
BOS,52,2011,16
MSP,64,2011,16
CLT,32,2011,16
PHX,20,2011,16
MCO,57,2011,16
JFK,55,2011,17
LGA,55,2011,17
EWR,55,2011,17
ORD,52,2011,17
LAS,44,2011,17
DEN,44,2011,17
ATL,24,2011,17
SFO,62,2011,17
IAH,59,2011,17
LAX,30,2011,17
DFW,40,2011,17
SEA,50,2011,17
PHL,43,2011,17
MIA,52,2011,17
DTW,47,2011,17
BOS,40,2011,17
MSP,33,2011,17
CLT,21,2011,17
PHX,25,2011,17
MCO,41,2011,17
JFK,74,2011,18
LGA,74,2011,18
EWR,74,2011,18
ORD,74,2011,18
LAS,57,2011,18
DEN,40,2011,18
ATL,28,2011,18
SFO,54,2011,18
IAH,80,2011,18
LAX,30,2011,18
DFW,54,2011,18
SEA,69,2011,18
PHL,65,2011,18
MIA,62,2011,18
DTW,57,2011,18
BOS,50,2011,18
MSP,68,2011,18
CLT,32,2011,18
PHX,31,2011,18
MCO,70,2011,18
JFK,71,2011,19
LGA,71,2011,19
EWR,71,2011,19
ORD,79,2011,19
LAS,72,2011,19
DEN,49,2011,19
ATL,37,2011,19
SFO,59,2011,19
IAH,57,2011,19
LAX,34,2011,19
DFW,54,2011,19
SEA,56,2011,19
PHL,50,2011,19
MIA,78,2011,19
DTW,52,2011,19
BOS,40,2011,19
MSP,47,2011,19
CLT,51,2011,19
PHX,100,2011,19
MCO,68,2011,19
JFK,75,2011,20
LGA,75,2011,20
EWR,75,2011,20
ORD,94,2011,20
LAS,57,2011,20
DEN,47,2011,20
ATL,44,2011,20
SFO,91,2011,20
IAH,69,2011,20
LAX,34,2011,20
DFW,71,2011,20
SEA,65,2011,20
PHL,48,2011,20
MIA,67,2011,20
DTW,53,2011,20
BOS,57,2011,20
MSP,61,2011,20
CLT,46,2011,20
PHX,26,2011,20
MCO,76,2011,20
JFK,65,2011,21
LGA,65,2011,21
EWR,65,2011,21
ORD,80,2011,21
LAS,56,2011,21
DEN,39,2011,21
ATL,43,2011,21
SFO,20,2011,21
IAH,59,2011,21
LAX,39,2011,21
DFW,49,2011,21
SEA,68,2011,21
PHL,32,2011,21
MIA,70,2011,21
DTW,55,2011,21
BOS,50,2011,21
MSP,57,2011,21
CLT,21,2011,21
PHX,25,2011,21
MCO,68,2011,21
JFK,77,2011,22
LGA,77,2011,22
EWR,77,2011,22
ORD,94,2011,22
LAS,72,2011,22
DEN,50,2011,22
ATL,37,2011,22
SFO,63,2011,22
IAH,66,2011,22
LAX,38,2011,22
DFW,42,2011,22
SEA,59,2011,22
PHL,55,2011,22
MIA,78,2011,22
DTW,51,2011,22
BOS,55,2011,22
MSP,75,2011,22
CLT,50,2011,22
PHX,43,2011,22
MCO,56,2011,22
JFK,76,2011,23
LGA,76,2011,23
EWR,76,2011,23
ORD,79,2011,23
LAS,84,2011,23
DEN,40,2011,23
ATL,35,2011,23
SFO,90,2011,23
IAH,79,2011,23
LAX,36,2011,23
DFW,54,2011,23
SEA,63,2011,23
PHL,57,2011,23
MIA,69,2011,23
DTW,55,2011,23
BOS,48,2011,23
MSP,58,2011,23
CLT,40,2011,23
PHX,36,2011,23
MCO,69,2011,23
JFK,78,2011,24
LGA,78,2011,24
EWR,78,2011,24
ORD,100,2011,24
LAS,65,2011,24
DEN,50,2011,24
ATL,41,2011,24
SFO,54,2011,24
IAH,87,2011,24
LAX,45,2011,24
DFW,55,2011,24
SEA,80,2011,24
PHL,38,2011,24
MIA,60,2011,24
DTW,64,2011,24
BOS,77,2011,24
MSP,55,2011,24
CLT,50,2011,24
PHX,29,2011,24
MCO,70,2011,24
JFK,68,2011,25
LGA,68,2011,25
EWR,68,2011,25
ORD,94,2011,25
LAS,80,2011,25
DEN,49,2011,25
ATL,35,2011,25
SFO,75,2011,25
IAH,76,2011,25
LAX,45,2011,25
DFW,61,2011,25
SEA,83,2011,25
PHL,30,2011,25
MIA,62,2011,25
DTW,52,2011,25
BOS,53,2011,25
MSP,56,2011,25
CLT,27,2011,25
PHX,40,2011,25
MCO,69,2011,25
JFK,66,2011,26
LGA,66,2011,26
EWR,66,2011,26
ORD,72,2011,26
LAS,64,2011,26
DEN,77,2011,26
ATL,43,2011,26
SFO,47,2011,26
IAH,73,2011,26
LAX,31,2011,26
DFW,43,2011,26
SEA,65,2011,26
PHL,63,2011,26
MIA,53,2011,26
DTW,47,2011,26
BOS,51,2011,26
MSP,54,2011,26
CLT,47,2011,26
PHX,29,2011,26
MCO,64,2011,26
JFK,74,2011,27
LGA,74,2011,27
EWR,74,2011,27
ORD,68,2011,27
LAS,85,2011,27
DEN,45,2011,27
ATL,42,2011,27
SFO,50,2011,27
IAH,47,2011,27
LAX,41,2011,27
DFW,61,2011,27
SEA,82,2011,27
PHL,47,2011,27
MIA,65,2011,27
DTW,38,2011,27
BOS,62,2011,27
MSP,68,2011,27
CLT,44,2011,27
PHX,25,2011,27
MCO,84,2011,27
JFK,73,2011,28
LGA,73,2011,28
EWR,73,2011,28
ORD,77,2011,28
LAS,81,2011,28
DEN,76,2011,28
ATL,42,2011,28
SFO,56,2011,28
IAH,70,2011,28
LAX,39,2011,28
DFW,53,2011,28
SEA,78,2011,28
PHL,74,2011,28
MIA,74,2011,28
DTW,44,2011,28
BOS,71,2011,28
MSP,90,2011,28
CLT,26,2011,28
PHX,48,2011,28
MCO,65,2011,28
JFK,81,2011,29
LGA,81,2011,29
EWR,81,2011,29
ORD,76,2011,29
LAS,73,2011,29
DEN,56,2011,29
ATL,46,2011,29
SFO,65,2011,29
IAH,67,2011,29
LAX,40,2011,29
DFW,50,2011,29
SEA,58,2011,29
PHL,46,2011,29
MIA,79,2011,29
DTW,55,2011,29
BOS,39,2011,29
MSP,53,2011,29
CLT,31,2011,29
PHX,25,2011,29
MCO,82,2011,29
JFK,67,2011,30
LGA,67,2011,30
EWR,67,2011,30
ORD,72,2011,30
LAS,76,2011,30
DEN,70,2011,30
ATL,33,2011,30
SFO,89,2011,30
IAH,59,2011,30
LAX,37,2011,30
DFW,44,2011,30
SEA,79,2011,30
PHL,46,2011,30
MIA,82,2011,30
DTW,53,2011,30
BOS,54,2011,30
MSP,59,2011,30
CLT,29,2011,30
PHX,27,2011,30
MCO,59,2011,30
JFK,67,2011,31
LGA,67,2011,31
EWR,67,2011,31
ORD,74,2011,31
LAS,65,2011,31
DEN,50,2011,31
ATL,29,2011,31
SFO,54,2011,31
IAH,58,2011,31
LAX,41,2011,31
DFW,41,2011,31
SEA,78,2011,31
PHL,47,2011,31
MIA,70,2011,31
DTW,50,2011,31
BOS,52,2011,31
MSP,26,2011,31
CLT,19,2011,31
PHX,44,2011,31
MCO,58,2011,31
JFK,81,2011,32
LGA,81,2011,32
EWR,81,2011,32
ORD,59,2011,32
LAS,69,2011,32
DEN,34,2011,32
ATL,39,2011,32
SFO,68,2011,32
IAH,55,2011,32
LAX,23,2011,32
DFW,50,2011,32
SEA,75,2011,32
PHL,50,2011,32
MIA,60,2011,32
DTW,57,2011,32
BOS,66,2011,32
MSP,56,2011,32
CLT,38,2011,32
PHX,30,2011,32
MCO,61,2011,32
JFK,100,2011,33
LGA,100,2011,33
EWR,100,2011,33
ORD,75,2011,33
LAS,71,2011,33
DEN,66,2011,33
ATL,43,2011,33
SFO,65,2011,33
IAH,61,2011,33
LAX,31,2011,33
DFW,45,2011,33
SEA,53,2011,33
PHL,91,2011,33
MIA,50,2011,33
DTW,57,2011,33
BOS,99,2011,33
MSP,61,2011,33
CLT,62,2011,33
PHX,24,2011,33
MCO,78,2011,33
JFK,87,2011,34
LGA,87,2011,34
EWR,87,2011,34
ORD,68,2011,34
LAS,62,2011,34
DEN,47,2011,34
ATL,31,2011,34
SFO,65,2011,34
IAH,66,2011,34
LAX,28,2011,34
DFW,56,2011,34
SEA,62,2011,34
PHL,60,2011,34
MIA,45,2011,34
DTW,41,2011,34
BOS,55,2011,34
MSP,44,2011,34
CLT,20,2011,34
PHX,23,2011,34
MCO,49,2011,34
JFK,65,2011,35
LGA,65,2011,35
EWR,65,2011,35
ORD,52,2011,35
LAS,72,2011,35
DEN,45,2011,35
ATL,37,2011,35
SFO,42,2011,35
IAH,51,2011,35
LAX,34,2011,35
DFW,50,2011,35
SEA,53,2011,35
PHL,63,2011,35
MIA,47,2011,35
DTW,24,2011,35
BOS,57,2011,35
MSP,42,2011,35
CLT,44,2011,35
PHX,29,2011,35
MCO,64,2011,35
JFK,90,2011,36
LGA,90,2011,36
EWR,90,2011,36
ORD,74,2011,36
LAS,62,2011,36
DEN,43,2011,36
ATL,28,2011,36
SFO,52,2011,36
IAH,55,2011,36
LAX,36,2011,36
DFW,52,2011,36
SEA,69,2011,36
PHL,48,2011,36
MIA,72,2011,36
DTW,84,2011,36
BOS,53,2011,36
MSP,77,2011,36
CLT,32,2011,36
PHX,32,2011,36
MCO,52,2011,36
JFK,59,2011,37
LGA,59,2011,37
EWR,59,2011,37
ORD,71,2011,37
LAS,59,2011,37
DEN,52,2011,37
ATL,28,2011,37
SFO,54,2011,37
IAH,64,2011,37
LAX,33,2011,37
DFW,40,2011,37
SEA,48,2011,37
PHL,32,2011,37
MIA,55,2011,37
DTW,59,2011,37
BOS,58,2011,37
MSP,61,2011,37
CLT,47,2011,37
PHX,22,2011,37
MCO,61,2011,37
JFK,64,2011,38
LGA,64,2011,38
EWR,64,2011,38
ORD,60,2011,38
LAS,54,2011,38
DEN,47,2011,38
ATL,32,2011,38
SFO,57,2011,38
IAH,63,2011,38
LAX,24,2011,38
DFW,35,2011,38
SEA,40,2011,38
PHL,32,2011,38
MIA,49,2011,38
DTW,27,2011,38
BOS,42,2011,38
MSP,49,2011,38
CLT,34,2011,38
PHX,19,2011,38
MCO,63,2011,38
JFK,58,2011,39
LGA,58,2011,39
EWR,58,2011,39
ORD,62,2011,39
LAS,52,2011,39
DEN,42,2011,39
ATL,31,2011,39
SFO,63,2011,39
IAH,61,2011,39
LAX,22,2011,39
DFW,40,2011,39
SEA,82,2011,39
PHL,38,2011,39
MIA,65,2011,39
DTW,45,2011,39
BOS,59,2011,39
MSP,33,2011,39
CLT,26,2011,39
PHX,14,2011,39
MCO,73,2011,39
JFK,63,2011,40
LGA,63,2011,40
EWR,63,2011,40
ORD,59,2011,40
LAS,60,2011,40
DEN,39,2011,40
ATL,35,2011,40
SFO,53,2011,40
IAH,47,2011,40
LAX,27,2011,40
DFW,54,2011,40
SEA,52,2011,40
PHL,40,2011,40
MIA,53,2011,40
DTW,48,2011,40
BOS,53,2011,40
MSP,48,2011,40
CLT,30,2011,40
PHX,29,2011,40
MCO,67,2011,40
JFK,55,2011,41
LGA,55,2011,41
EWR,55,2011,41
ORD,60,2011,41
LAS,59,2011,41
DEN,33,2011,41
ATL,25,2011,41
SFO,39,2011,41
IAH,60,2011,41
LAX,30,2011,41
DFW,41,2011,41
SEA,51,2011,41
PHL,44,2011,41
MIA,49,2011,41
DTW,47,2011,41
BOS,57,2011,41
MSP,30,2011,41
CLT,28,2011,41
PHX,23,2011,41
MCO,59,2011,41
JFK,70,2011,42
LGA,70,2011,42
EWR,70,2011,42
ORD,59,2011,42
LAS,49,2011,42
DEN,55,2011,42
ATL,31,2011,42
SFO,50,2011,42
IAH,63,2011,42
LAX,27,2011,42
DFW,46,2011,42
SEA,44,2011,42
PHL,31,2011,42
MIA,54,2011,42
DTW,35,2011,42
BOS,47,2011,42
MSP,57,2011,42
CLT,24,2011,42
PHX,20,2011,42
MCO,57,2011,42
JFK,56,2011,43
LGA,56,2011,43
EWR,56,2011,43
ORD,57,2011,43
LAS,58,2011,43
DEN,58,2011,43
ATL,31,2011,43
SFO,62,2011,43
IAH,51,2011,43
LAX,30,2011,43
DFW,41,2011,43
SEA,46,2011,43
PHL,32,2011,43
MIA,65,2011,43
DTW,47,2011,43
BOS,38,2011,43
MSP,51,2011,43
CLT,33,2011,43
PHX,24,2011,43
MCO,50,2011,43
JFK,60,2011,44
LGA,60,2011,44
EWR,60,2011,44
ORD,51,2011,44
LAS,54,2011,44
DEN,33,2011,44
ATL,33,2011,44
SFO,35,2011,44
IAH,63,2011,44
LAX,31,2011,44
DFW,35,2011,44
SEA,56,2011,44
PHL,43,2011,44
MIA,49,2011,44
DTW,45,2011,44
BOS,40,2011,44
MSP,67,2011,44
CLT,29,2011,44
PHX,14,2011,44
MCO,57,2011,44
JFK,66,2011,45
LGA,66,2011,45
EWR,66,2011,45
ORD,61,2011,45
LAS,51,2011,45
DEN,51,2011,45
ATL,31,2011,45
SFO,71,2011,45
IAH,50,2011,45
LAX,30,2011,45
DFW,36,2011,45
SEA,53,2011,45
PHL,48,2011,45
MIA,61,2011,45
DTW,49,2011,45
BOS,56,2011,45
MSP,52,2011,45
CLT,33,2011,45
PHX,27,2011,45
MCO,61,2011,45
JFK,60,2011,46
LGA,60,2011,46
EWR,60,2011,46
ORD,47,2011,46
LAS,51,2011,46
DEN,41,2011,46
ATL,29,2011,46
SFO,32,2011,46
IAH,44,2011,46
LAX,34,2011,46
DFW,47,2011,46
SEA,48,2011,46
PHL,55,2011,46
MIA,51,2011,46
DTW,25,2011,46
BOS,54,2011,46
MSP,37,2011,46
CLT,43,2011,46
PHX,29,2011,46
MCO,50,2011,46
JFK,67,2011,47
LGA,67,2011,47
EWR,67,2011,47
ORD,63,2011,47
LAS,53,2011,47
DEN,62,2011,47
ATL,27,2011,47
SFO,47,2011,47
IAH,48,2011,47
LAX,21,2011,47
DFW,39,2011,47
SEA,38,2011,47
PHL,44,2011,47
MIA,48,2011,47
DTW,52,2011,47
BOS,36,2011,47
MSP,62,2011,47
CLT,32,2011,47
PHX,20,2011,47
MCO,48,2011,47
JFK,53,2011,48
LGA,53,2011,48
EWR,53,2011,48
ORD,55,2011,48
LAS,51,2011,48
DEN,49,2011,48
ATL,27,2011,48
SFO,45,2011,48
IAH,48,2011,48
LAX,24,2011,48
DFW,47,2011,48
SEA,51,2011,48
PHL,35,2011,48
MIA,42,2011,48
DTW,33,2011,48
BOS,39,2011,48
MSP,50,2011,48
CLT,34,2011,48
PHX,20,2011,48
MCO,49,2011,48
JFK,64,2011,49
LGA,64,2011,49
EWR,64,2011,49
ORD,56,2011,49
LAS,48,2011,49
DEN,58,2011,49
ATL,28,2011,49
SFO,47,2011,49
IAH,56,2011,49
LAX,28,2011,49
DFW,40,2011,49
SEA,46,2011,49
PHL,30,2011,49
MIA,63,2011,49
DTW,42,2011,49
BOS,40,2011,49
MSP,39,2011,49
CLT,28,2011,49
PHX,23,2011,49
MCO,63,2011,49
JFK,73,2011,50
LGA,73,2011,50
EWR,73,2011,50
ORD,60,2011,50
LAS,62,2011,50
DEN,83,2011,50
ATL,36,2011,50
SFO,51,2011,50
IAH,64,2011,50
LAX,36,2011,50
DFW,45,2011,50
SEA,60,2011,50
PHL,47,2011,50
MIA,72,2011,50
DTW,58,2011,50
BOS,48,2011,50
MSP,27,2011,50
CLT,44,2011,50
PHX,25,2011,50
MCO,63,2011,50
JFK,67,2011,51
LGA,67,2011,51
EWR,67,2011,51
ORD,57,2011,51
LAS,74,2011,51
DEN,55,2011,51
ATL,39,2011,51
SFO,47,2011,51
IAH,56,2011,51
LAX,40,2011,51
DFW,68,2011,51
SEA,74,2011,51
PHL,39,2011,51
MIA,61,2011,51
DTW,51,2011,51
BOS,42,2011,51
MSP,53,2011,51
CLT,26,2011,51
PHX,25,2011,51
MCO,55,2011,51
JFK,90,2012,52
LGA,90,2012,52
EWR,90,2012,52
ORD,68,2012,52
LAS,72,2012,52
DEN,50,2012,52
ATL,31,2012,52
SFO,62,2012,52
IAH,66,2012,52
LAX,24,2012,52
DFW,52,2012,52
SEA,44,2012,52
PHL,37,2012,52
MIA,87,2012,52
DTW,41,2012,52
BOS,62,2012,52
MSP,51,2012,52
CLT,41,2012,52
PHX,37,2012,52
MCO,70,2012,52
JFK,74,2012,1
LGA,74,2012,1
EWR,74,2012,1
ORD,93,2012,1
LAS,100,2012,1
DEN,47,2012,1
ATL,35,2012,1
SFO,40,2012,1
IAH,62,2012,1
LAX,28,2012,1
DFW,51,2012,1
SEA,44,2012,1
PHL,40,2012,1
MIA,69,2012,1
DTW,55,2012,1
BOS,53,2012,1
MSP,86,2012,1
CLT,28,2012,1
PHX,17,2012,1
MCO,69,2012,1
JFK,61,2012,2
LGA,61,2012,2
EWR,61,2012,2
ORD,75,2012,2
LAS,84,2012,2
DEN,37,2012,2
ATL,30,2012,2
SFO,73,2012,2
IAH,65,2012,2
LAX,32,2012,2
DFW,33,2012,2
SEA,98,2012,2
PHL,54,2012,2
MIA,78,2012,2
DTW,45,2012,2
BOS,43,2012,2
MSP,51,2012,2
CLT,21,2012,2
PHX,25,2012,2
MCO,72,2012,2
JFK,64,2012,3
LGA,64,2012,3
EWR,64,2012,3
ORD,73,2012,3
LAS,64,2012,3
DEN,67,2012,3
ATL,31,2012,3
SFO,46,2012,3
IAH,51,2012,3
LAX,28,2012,3
DFW,42,2012,3
SEA,56,2012,3
PHL,48,2012,3
MIA,66,2012,3
DTW,34,2012,3
BOS,45,2012,3
MSP,47,2012,3
CLT,39,2012,3
PHX,16,2012,3
MCO,78,2012,3
JFK,63,2012,4
LGA,63,2012,4
EWR,63,2012,4
ORD,68,2012,4
LAS,69,2012,4
DEN,100,2012,4
ATL,26,2012,4
SFO,67,2012,4
IAH,53,2012,4
LAX,30,2012,4
DFW,40,2012,4
SEA,47,2012,4
PHL,42,2012,4
MIA,55,2012,4
DTW,47,2012,4
BOS,41,2012,4
MSP,50,2012,4
CLT,36,2012,4
PHX,19,2012,4
MCO,68,2012,4
JFK,51,2012,5
LGA,51,2012,5
EWR,51,2012,5
ORD,55,2012,5
LAS,62,2012,5
DEN,48,2012,5
ATL,41,2012,5
SFO,42,2012,5
IAH,67,2012,5
LAX,31,2012,5
DFW,43,2012,5
SEA,56,2012,5
PHL,30,2012,5
MIA,73,2012,5
DTW,72,2012,5
BOS,49,2012,5
MSP,47,2012,5
CLT,29,2012,5
PHX,29,2012,5
MCO,88,2012,5
JFK,61,2012,6
LGA,61,2012,6
EWR,61,2012,6
ORD,50,2012,6
LAS,67,2012,6
DEN,52,2012,6
ATL,38,2012,6
SFO,39,2012,6
IAH,92,2012,6
LAX,33,2012,6
DFW,43,2012,6
SEA,56,2012,6
PHL,39,2012,6
MIA,84,2012,6
DTW,40,2012,6
BOS,47,2012,6
MSP,42,2012,6
CLT,27,2012,6
PHX,22,2012,6
MCO,60,2012,6
JFK,71,2012,7
LGA,71,2012,7
EWR,71,2012,7
ORD,78,2012,7
LAS,80,2012,7
DEN,57,2012,7
ATL,48,2012,7
SFO,67,2012,7
IAH,84,2012,7
LAX,32,2012,7
DFW,41,2012,7
SEA,59,2012,7
PHL,39,2012,7
MIA,77,2012,7
DTW,62,2012,7
BOS,51,2012,7
MSP,47,2012,7
CLT,30,2012,7
PHX,25,2012,7
MCO,92,2012,7
JFK,75,2012,8
LGA,75,2012,8
EWR,75,2012,8
ORD,68,2012,8
LAS,79,2012,8
DEN,50,2012,8
ATL,36,2012,8
SFO,33,2012,8
IAH,81,2012,8
LAX,28,2012,8
DFW,51,2012,8
SEA,65,2012,8
PHL,43,2012,8
MIA,71,2012,8
DTW,47,2012,8
BOS,57,2012,8
MSP,100,2012,8
CLT,24,2012,8
PHX,30,2012,8
MCO,100,2012,8
JFK,78,2012,9
LGA,78,2012,9
EWR,78,2012,9
ORD,78,2012,9
LAS,75,2012,9
DEN,42,2012,9
ATL,47,2012,9
SFO,63,2012,9
IAH,82,2012,9
LAX,35,2012,9
DFW,62,2012,9
SEA,61,2012,9
PHL,61,2012,9
MIA,86,2012,9
DTW,51,2012,9
BOS,57,2012,9
MSP,38,2012,9
CLT,34,2012,9
PHX,27,2012,9
MCO,98,2012,9
JFK,76,2012,10
LGA,76,2012,10
EWR,76,2012,10
ORD,73,2012,10
LAS,65,2012,10
DEN,55,2012,10
ATL,41,2012,10
SFO,87,2012,10
IAH,82,2012,10
LAX,37,2012,10
DFW,60,2012,10
SEA,69,2012,10
PHL,48,2012,10
MIA,63,2012,10
DTW,43,2012,10
BOS,59,2012,10
MSP,40,2012,10
CLT,42,2012,10
PHX,30,2012,10
MCO,81,2012,10
JFK,65,2012,11
LGA,65,2012,11
EWR,65,2012,11
ORD,58,2012,11
LAS,66,2012,11
DEN,39,2012,11
ATL,29,2012,11
SFO,77,2012,11
IAH,71,2012,11
LAX,26,2012,11
