Date;Close;Volume
01/03/2012;7.41;7718600
02/03/2012;7.63;7752700
05/03/2012;6.99;15562100
06/03/2012;6.88;7993300
07/03/2012;6.91;5773500
08/03/2012;6.96;5180700
09/03/2012;7.03;4508100
12/03/2012;6.89;5282400
13/03/2012;6.96;5909600
14/03/2012;7.09;6384900
15/03/2012;7.58;13550500
16/03/2012;7.15;6904300
19/03/2012;7.19;4288800
20/03/2012;7.68;9516200
21/03/2012;7.63;6737500
22/03/2012;7.33;6687200
23/03/2012;7.55;4937700
26/03/2012;7.73;6153700
27/03/2012;7.56;4731600
28/03/2012;7.79;8890700
29/03/2012;7.89;6150300
30/03/2012;7.59;6739200
02/04/2012;7.47;7355100
03/04/2012;7.74;6951000
04/04/2012;7.86;8786400
05/04/2012;7.78;4947900
09/04/2012;7.75;4174400
10/04/2012;7.47;7584100
11/04/2012;7.62;5319100
12/04/2012;7.89;5342300
13/04/2012;7.84;4650000
16/04/2012;8.13;7014600
17/04/2012;8.18;4940500
18/04/2012;8.2;4646400
19/04/2012;9.51;31291800
20/04/2012;9.34;16056100
23/04/2012;9.03;8484300
24/04/2012;9.31;9734800
25/04/2012;9.6;14248900
26/04/2012;9.8;10556800
27/04/2012;10.31;12075900
30/04/2012;10.26;8214700
01/05/2012;10.16;7059400
02/05/2012;10.26;4192500
03/05/2012;10.71;11508500
04/05/2012;10.7;8816800
07/05/2012;11.1;6200000
08/05/2012;11.02;7000900
09/05/2012;10.79;6549600
10/05/2012;10.93;5759600
11/05/2012;11.32;8392100
14/05/2012;11.24;7571500
15/05/2012;11.13;7714900
16/05/2012;11.13;7514900
17/05/2012;10.19;15646000
18/05/2012;10.06;10813400
21/05/2012;10.71;8290100
22/05/2012;10.62;6227400
23/05/2012;11;7233000
24/05/2012;12.16;17085400
25/05/2012;12.3;8341300
29/05/2012;12.62;7147600
30/05/2012;12.69;8895400
31/05/2012;13.22;9914700
01/06/2012;12.64;11998500
04/06/2012;11.18;13603800
05/06/2012;11.62;5680300
06/06/2012;11.78;5216300
07/06/2012;11.28;8513300
08/06/2012;12.15;9863800
11/06/2012;11.36;7708500
12/06/2012;11.43;7488200
13/06/2012;11.97;12150700
14/06/2012;12.48;8775200
15/06/2012;12.03;7497600
18/06/2012;12.5;7784900
19/06/2012;12.7;11647400
20/06/2012;13.03;8589200
21/06/2012;13.47;13129800
22/06/2012;13.17;14666900
25/06/2012;12.65;5882000
26/06/2012;12.88;8187700
27/06/2012;13.31;7264900
28/06/2012;13.4;9192300
29/06/2012;13.33;9455200
02/07/2012;13.55;10702300
03/07/2012;13.21;8305000
05/07/2012;13.47;8573800
06/07/2012;13.87;11326900
09/07/2012;13.49;7933800
10/07/2012;13.91;11868900
11/07/2012;14.12;9101100
12/07/2012;13.97;8067800
13/07/2012;14.45;6694600
16/07/2012;14.09;9171500
17/07/2012;14.07;7634500
18/07/2012;13.42;11240100
19/07/2012;12.5;13748800
20/07/2012;12.01;10048400
23/07/2012;12.08;9005300
24/07/2012;11.59;7879600
25/07/2012;11.15;17717800
26/07/2012;11.19;10942700
27/07/2012;11.35;5844700
30/07/2012;11.29;4354100
31/07/2012;11.46;6818400
01/08/2012;10.83;8123600
02/08/2012;10.68;6665600
03/08/2012;10.89;4475200
06/08/2012;10.81;5529000
07/08/2012;9.94;15827900
08/08/2012;10.4;9183300
09/08/2012;10.05;5483200
10/08/2012;10.07;6333900
13/08/2012;10.12;6249800
14/08/2012;10.12;4193700
15/08/2012;10.15;3696700
16/08/2012;9.91;7958300
17/08/2012;10.08;7573800
20/08/2012;10.59;7545600
21/08/2012;11.42;19958800
22/08/2012;11.61;10711700
23/08/2012;11.04;6695000
24/08/2012;11.11;4722300
27/08/2012;11.04;5707100
28/08/2012;10.81;7974300
29/08/2012;10.45;5761100
30/08/2012;10.4;5385700
31/08/2012;10.66;6248300
04/09/2012;10.45;4713400
05/09/2012;11.22;8286800
06/09/2012;11.42;9613800
07/09/2012;12.14;8939100
10/09/2012;12;9006400
11/09/2012;11.62;8012700
12/09/2012;11.82;5036100
13/09/2012;11.25;8627500
14/09/2012;10.53;13641000
17/09/2012;10.56;10504800
18/09/2012;10.31;6980600
19/09/2012;10.97;10926500
20/09/2012;10.68;4523100
21/09/2012;10.67;6524500
24/09/2012;10.51;5220900
25/09/2012;10.28;5187200
26/09/2012;10.5;4038400
27/09/2012;10.36;4036000
28/09/2012;10.46;4404600
01/10/2012;10.75;6120000
02/10/2012;10.88;4690000
03/10/2012;11.78;13775400
04/10/2012;11.67;6893400
05/10/2012;11.66;6819600
08/10/2012;11.57;2946500
09/10/2012;11.3;4592900
10/10/2012;11.34;3567500
11/10/2012;11.17;4540700
12/10/2012;11.36;3540300
15/10/2012;11.42;3734800
16/10/2012;11.58;3401000
17/10/2012;11.62;4610600
18/10/2012;11.72;6363500
19/10/2012;11.47;3807900
22/10/2012;11.92;4677500
23/10/2012;12.09;7749700
24/10/2012;12.37;11283300
25/10/2012;11.97;5623700
26/10/2012;11.92;5664500
31/10/2012;12.18;5144500
01/11/2012;12.55;5001800
02/11/2012;12.53;4813500
05/11/2012;12.64;4571300
06/11/2012;12.67;3449100
07/11/2012;12.59;7272000
08/11/2012;13.02;10188000
09/11/2012;12.61;6560000
12/11/2012;12.29;6752100
13/11/2012;12.59;6257900
14/11/2012;12.01;8794800
15/11/2012;12.06;5942800
16/11/2012;11.76;5440000
19/11/2012;12.07;3719000
20/11/2012;12.49;4975500
21/11/2012;12.47;3141200
23/11/2012;12.5;1464800
26/11/2012;12.92;7475600
27/11/2012;12.72;4426600
28/11/2012;12.97;4663100
29/11/2012;13;4453200
30/11/2012;12.89;4889700
03/12/2012;12.66;3167000
04/12/2012;12.38;5775300
05/12/2012;12.11;6484300
06/12/2012;12.61;7057000
07/12/2012;12.77;9250800
10/12/2012;12.78;4620200
11/12/2012;12.88;6704500
12/12/2012;12.7;4651700
13/12/2012;12.97;6238500
14/12/2012;12.83;4226800
17/12/2012;12.79;7924700
18/12/2012;12.95;5615000
19/12/2012;13.48;9147700
20/12/2012;13.54;8658800
21/12/2012;13.44;6081200
24/12/2012;13.33;1158400
26/12/2012;13.23;1978800
27/12/2012;13.1;3663200
28/12/2012;12.79;4261800
31/12/2012;13.5;7005600
02/01/2013;13.98;6662000
03/01/2013;13.66;5398400
04/01/2013;14.73;12048300
07/01/2013;14.84;5730600
08/01/2013;15.16;8034400
09/01/2013;15.13;8493100
10/01/2013;15.14;5248800
11/01/2013;14.78;4829400
14/01/2013;14.67;5978000
15/01/2013;14.31;7384900
16/01/2013;14.63;4263600
17/01/2013;14.48;4675000
18/01/2013;14.44;5297400
22/01/2013;14.85;6520700
23/01/2013;15.07;15854900
24/01/2013;14.67;7112300
25/01/2013;14.97;8381900
28/01/2013;15.03;6544500
29/01/2013;14.42;10258600
30/01/2013;14.3;4873200
31/01/2013;14.28;4575800
01/02/2013;14.12;5308600
04/02/2013;13.99;4441000
05/02/2013;14.09;4175900
06/02/2013;14.56;5239800
07/02/2013;15.11;16835700
08/02/2013;14.75;8407500
11/02/2013;14.46;8882000
12/02/2013;14.27;8126000
13/02/2013;14.66;10259500
14/02/2013;13.99;31879900
15/02/2013;14.5;15628000
19/02/2013;14.26;11354400
20/02/2013;13.33;14725200
21/02/2013;13.37;11922100
22/02/2013;13.57;6071400
25/02/2013;13.02;7186400
26/02/2013;13.26;9419000
27/02/2013;13.41;7390500
28/02/2013;13.43;6143600
01/03/2013;13.61;7376800
04/03/2013;13.9;8174800
05/03/2013;14.05;7676100
06/03/2013;14.57;13243200
07/03/2013;14.82;9125300
08/03/2013;14.92;10593700
11/03/2013;15.13;6961800
12/03/2013;15.5;8999100
13/03/2013;15.91;11380000
14/03/2013;16.25;8383300
15/03/2013;15.98;17667700
18/03/2013;16.290001;6514100
19/03/2013;16.780001;11805300
20/03/2013;17.23;10819800
21/03/2013;17;10740800
22/03/2013;16.860001;8545200
25/03/2013;16.6;8400000
26/03/2013;16.51;6898500
27/03/2013;16.65;5537100
28/03/2013;16.969999;8324100
