Date,Airport,Total,Flights,Booths,Mean per flight
19/10/2012,SEA,3171,23,123,137.87
19/10/2012,SFO,10872,49,389,221.88
19/10/2012,LGA,13818,88,427,157.02
20/10/2012,ATL,13824,78,671,177.23
20/10/2012,BOS,4833,25,170,193.32
20/10/2012,CLT,3837,23,83,166.83
20/10/2012,DEN,1851,14,47,132.21
20/10/2012,DFW,8014,63,200,127.21
20/10/2012,DTW,4652,22,175,211.45
20/10/2012,EWR,15574,96,457,162.23
20/10/2012,IAH,10864,100,335,108.64
20/10/2012,JFK,35818,178,1236,201.22
20/10/2012,LAS,1623,9,52,180.33
20/10/2012,LAX,22572,109,987,207.08
20/10/2012,MCO,5166,26,167,198.69
20/10/2012,MIA,25033,161,842,155.48
20/10/2012,MSP,1833,11,61,166.64
20/10/2012,ORD,12868,67,328,192.06
20/10/2012,PHL,5090,28,130,181.79
20/10/2012,PHX,2226,21,75,106
20/10/2012,SEA,3374,22,112,153.36
20/10/2012,SFO,12050,54,358,223.15
20/10/2012,LGA,15574,96,457,162.23
21/10/2012,ATL,12155,68,683,178.75
21/10/2012,BOS,4518,25,157,180.72
21/10/2012,CLT,3202,18,83,177.89
21/10/2012,DEN,1313,10,49,131.3
21/10/2012,DFW,8098,63,230,128.54
21/10/2012,DTW,3804,18,185,211.33
21/10/2012,EWR,13756,91,431,151.16
21/10/2012,IAH,10723,100,343,107.23
21/10/2012,JFK,35840,175,1146,204.8
21/10/2012,LAS,3201,19,106,168.47
21/10/2012,LAX,22038,100,1023,220.38
21/10/2012,MCO,3890,22,141,176.82
21/10/2012,MIA,24168,160,926,151.05
21/10/2012,MSP,1783,10,36,178.3
21/10/2012,ORD,12456,68,370,183.18
21/10/2012,PHL,4382,26,147,168.54
21/10/2012,PHX,2178,20,63,108.9
21/10/2012,SEA,3761,24,122,156.71
21/10/2012,SFO,11564,50,382,231.28
21/10/2012,LGA,13756,91,431,151.16
22/10/2012,ATL,11180,66,643,169.39
22/10/2012,BOS,3851,26,157,148.12
22/10/2012,CLT,2588,15,87,172.53
22/10/2012,DEN,767,6,41,127.83
22/10/2012,DFW,7012,60,199,116.87
22/10/2012,DTW,3889,21,210,185.19
22/10/2012,EWR,13218,92,400,143.67
22/10/2012,IAH,8473,93,292,91.11
22/10/2012,JFK,31860,164,1195,194.27
22/10/2012,LAS,1815,12,58,151.25
22/10/2012,LAX,18480,94,892,196.6
22/10/2012,MCO,3626,19,134,190.84
22/10/2012,MIA,22904,160,936,143.15
22/10/2012,MSP,1538,10,67,153.8
